id,title,director,actors,genre,description,year
5291,Mission: Impossible - Ghost Protocol,Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner, Michael Nyqvist, Vladimir Mashkov, Samuli Edelmann, Ivan Shvedoff, Anil Kapoor, Léa Seydoux, Josh Holloway, Pavel Kríz, Miraj Grbic, Ilia Volok, Goran Navojec","Action, Adventure, Thriller","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",2011
5292,Anchorman 2: The Legend Continues,Adam McKay,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner, Christina Applegate, Dylan Baker, Meagan Good, Judah Nelson, James Marsden, Greg Kinnear, Josh Lawson, Kristen Wiig, Fred Willard, Chris Parnell, Harrison Ford",Comedy,"With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",2013
5293,Jane Eyre,Cary Joji Fukunaga,"Mia Wasikowska, Jamie Bell, Su Elliot, Holliday Grainger, Tamzin Merchant, Amelia Clarkson, Craig Roberts, Sally Hawkins, Lizzie Hopley, Jayne Wisener, Freya Wilson, Emily Haigh, Simon McBurney, Sandy McDade, Freya Parks","Drama, Romance",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,2011
5294,Rock On!!,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli, Prachi Desai, Shahana Goswami, Koel Purie, Nicolette Bird, Sai Gundewar, Supreet Bedi, Vinod Bere, Randolph Correia, Lindsay D'Mello, Suzanne D'Mello, Terence D'Souza","Drama, Music",Four friends reunite to relive their moments of glory as a rock band.,2008
5295,Not Fade Away,David Chase,"John Magaro, Jack Huston, Will Brill, Brahm Vaccarella, Gregory Perri, James Gandolfini, Bella Heathcote, Molly Price, Meg Guzulescu, Dominique McElligott, Christopher McDonald, Brad Garrett, Isiah Whitlock Jr., Gerard Canonico, F. Michael Haynie",Drama,"Set in suburban New Jersey in the 1960s, a group of friends form a rock band and try to make it big.",2012
5296,Hwanghae,Hong-jin Na,"Jung-woo Ha, Yoon-seok Kim, Sung-ha Jo, Seok-jeong Hwang, Man-sik Jeong, Hyeon-joo Kim, Cheol-min Lee, Yoo-mi Lee, Gi-won Yang, Dong-Heon Yeom","Action, Crime, Drama","The attempt to carry out a hit on a professor goes terribly awry, triggering a series of violent events which force a taxi driver to run for his life.",2010
5297,It's Complicated,Nancy Meyers,"Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski, Lake Bell, Mary Kay Place, Rita Wilson, Alexandra Wentworth, Hunter Parrish, Zoe Kazan, Caitlin FitzGerald, Emjay Anthony, Nora Dunn, Bruce Altman, Robert Curtis Brown","Comedy, Drama, Romance","When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",2009
5298,Due Date,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh, Brody Stevens, Jakob Ulrich, Naiia Ulrich, Todd Phillips, Bobby Tisdale, Sharon Conley, Nathalie Fay","Adventure, Comedy",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,2010
5299,A Good Old Fashioned Orgy,"Alex Gregory, Peter Huyck","Jason Sudeikis, Leslie Bibb, Lake Bell, Michelle Borth, Nick Kroll, Tyler Labine, Angela Sarafyan, Lindsay Sloane, Martin Starr, Rhys Coiro, Will Forte, Kelly Haas, Michael Harding, Jan Harrelson, Bob Hungerford","Comedy, Romance",A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy.,2011
5300,Hot Tub Time Machine,Steve Pink,"John Cusack, Clark Duke, Craig Robinson, Rob Corddry, Sebastian Stan, Lyndsy Fonseca, Crispin Glover, Chevy Chase, Charlie McDermott, Lizzy Caplan, Collette Wolfe, Aliu Oyofo, Jake Rose, Brook Bennett, Yan-Kay Crystal Lowe","Comedy, Sci-Fi","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",2010
5301,Fish Tank,Andrea Arnold,"Katie Jarvis, Michael Fassbender, Kierston Wareing, Rebecca Griffiths, Harry Treadaway, Sydney Mary Nash, Carrie-Ann Savill, Toyin Ogidi, Grant Wild, Sarah Bayes, Charlotte Collins, Kirsty Smith, Chelsea Chase, Brooke Hobby, Jason Maza",Drama,Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,2009
5302,De ofrivilliga,Ruben Östlund,"Villmar Björkman, Linnea Cart-Lamy, Leif Edlund, Sara Eriksson, Lola Ewerlund, Alexandra Hummingson, Hanna Lekander, Olle Liljas, Maria Lundqvist, Cecilia Milocco, Simeon Nordius, Guje Palm, Henrik Vikman, Vera Vitali",Drama,"In several unrelated stories, the consequences of putting ones foot down - or failing to do so - are explored.",2008
5303,21 Jump Street,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis, Ice Cube, Dax Flame, Chris Parnell, Ellie Kemper, Jake Johnson, Nick Offerman, Holly Robinson Peete, Johnny Pemberton, Stanley Wong","Action, Comedy, Crime",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,2012
5304,Saw VI,Kevin Greutert,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell, Shawnee Smith, Peter Outerbridge, Athena Karkanis, Samantha Lemole, Tanedra Howard, Marty Moreau, Shawn Ahmed, Janelle Hutchison, Gerry Mendicino, Caroline Cave, George Newbern","Horror, Mystery, Thriller","Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",2009
5305,Ironclad,Jonathan English,"James Purefoy, Brian Cox, Kate Mara, Derek Jacobi, Paul Giamatti, Charles Dance, Jason Flemyng, Jamie Foreman, Mackenzie Crook, Rhys Parry Jones, Aneurin Barnard, Vladimir Kulich, David Melville, Annabelle Apsion, Steffan Rhodri","Action, Drama, History","In thirteenth century England, a Knights Templar and few of the Barons men, fight to defend Rochester Castle against the tyrannical King John.",2011
5306,Pariah,Dee Rees,"Adepero Oduye, Pernell Walker, Aasha Davis, Charles Parnell, Sahra Mellesse, Kim Wayans, Shamika Cotton, Raymond Anthony Thomas, Afton Williamson, Zabryna Guevara, Kim Sykes, Rob Morgan, Nina Daniels, Jeremie Harris, Chanté Lewis",Drama,"A Brooklyn teenager juggles conflicting identities and risks friendship, heartbreak, and family in a desperate search for sexual expression.",2011
5307,Üç Maymun,Nuri Bilge Ceylan,"Yavuz Bingöl, Hatice Aslan, Ahmet Rifat Sungar, Ercan Kesal, Cafer Köse, Gürkan Aydin",Drama,A family suffers from a major communication breakdown during their struggle to get through their hardships.,2008
5308,The Men Who Stare at Goats,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Waleed Zuaiter, Stephen Root, Glenn Morshower, Nick Offerman, Tim Griffin, Rebecca Mader, Jacob Browne, Todd Lawson LaTourrette, Brad Grunberg","Comedy, War","A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",2009
5309,Greenberg,Noah Baumbach,"Greta Gerwig, Koby Rouviere, Sydney Rouviere, Chris Messina, Susan Traylor, Merritt Wever, Emily Lacy, Aaron Wrinkle, Heather Lockie, Chris Coy, Ben Stiller, Zach Chassler, Mina Badie, Rhys Ifans, Blair Tefkin","Comedy, Drama, Romance","A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant.",2010
5310,RoboCop,José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish, Jackie Earle Haley, Michael Kenneth Williams, Jennifer Ehle, Jay Baruchel, Marianne Jean-Baptiste, Samuel L. Jackson, Aimee Garcia, Douglas Urbanski, John Paul Ruttan, Patrick Garrow, K.C. Collins","Action, Crime, Sci-Fi","In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",2014
5311,Dorian Gray,Oliver Parker,"Ben Barnes, John Hollingworth, Cato Sandford, Pip Torrens, Fiona Shaw, Ben Chaplin, Caroline Goodall, Maryam d'Abo, Michael Culkin, Colin Firth, Emilia Fox, Nathan Rosen, Jeff Lipman, Louise Kempton, Douglas Henshall","Drama, Fantasy, Thriller","A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all.",2009
5312,Last Ride,Glendyn Ivin,"Hugo Weaving, Tom Russell, Anita Hegh, John Brumpton, Kelton Pell, Sonya Suares, Loren Taylor, Adam Morgan, Chrissie Page, Chris Weir, Michael Allen, Beau Hurren, Mick Coulthard, Lucy Russell, Jane Liscombe",Drama,"A young boy travels across Australia with his father, who's wanted by the law for committing a violent crime.",2009
5313,Un prophète,Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb, Hichem Yacoubi, Jean-Philippe Ricci, Gilles Cohen, Pierre Leccia, Antoine Basler, Foued Nassah, Jean-Emmanuel Pagni, Frédéric Graziani, Leïla Bekhti, Rabah Loucif, Slimane Dazi","Crime, Drama",A young Arab man is sent to a French prison.,2009
5314,The Future,Miranda July,"Hamish Linklater, Miranda July, David Warshofsky, Isabella Acres, Joe Putterlik, Angela Trimbur, Mary Passeri, Ella, Kathleen Gati, Clement von Franckenstein, Tonita Castro, D.A. Sandoval, Mark Atteberry, Frank Langley, Erinn K. Williams","Drama, Fantasy, Romance","When a couple decides to adopt a stray cat their perspective on life changes radically, literally altering the course of time and space and testing their faith in each other and themselves.",2011
5315,Wild Target,Jonathan Lynn,"Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett, Eileen Atkins, Martin Freeman, Gregor Fisher, Geoff Bell, Rory Kinnear, Duncan Duff, Graham Seed, James O'Donnell, George Rainsford, Alexis Rodney, Sia Berkeley","Action, Comedy, Crime",A hitman tries to retire but a beautiful thief may change his plans.,2010
5316,Broken City,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper, Alona Tal, Natalie Martinez, Michael Beach, Kyle Chandler, James Ransone, Griffin Dunne, Odessa Feaster, Britney Theriot, Luis Tolentino, Tony Bentley","Crime, Drama, Thriller","In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.",2013
5317,Ondine,Neil Jordan,"Colin Farrell, Alicja Bachleda, Dervla Kirwan, Alison Barry, Marion O'Dwyer, Tony Curran, Mary O'Shea, Gemma Reeves, Stephen Rea, Norma Sheahan, Emil Hostina, Conor Power, Olwyn Hanley, Brendan McCormack, Mark Doherty","Drama, Mystery, Romance",An Irish fisherman discovers a woman in his fishing net whom his precocious daughter believes to be a selkie.,2009
5318,Chico & Rita,"Tono Errando, Javier Mariscal","Limara Meneses, Eman Xor Oña, Mario Guerra, Jon Adams, Renny Arozarena, Blanca Rosa Blanco, Jackie de la Nuez, Rigoberto Ferrera, Ken Forman, Ray Gillon, Steve Harper, Lenny Mandel, Jorge Ryan, Claudia Valdes, Claudia Valdés","Animation, Crime, Drama","Chico is a young piano player with big dreams. Rita is a beautiful singer with an extraordinary voice. Music and romantic desire unites them, but their journey - in the tradition of the Latin ballad, the bolero - brings heartache and torment.",2010
5319,Medianeras,Gustavo Taretto,"Javier Drolas, Miguel Dedovich, Pilar López de Ayala, Miguel Alvarez, Alicia Mezza, Lucas Issi, Octavio Musaluppi, Jorge Lanata, Coqueta, Romina Paula, Alan Pauls, Inés Efron, Adrián Navarro, Carla Peterson, Rafael Ferro","Comedy, Drama","Martín and Mariana are slightly damaged people who live in buildings just opposite one another. While they often don't notice each other, separation might be the very thing that brings them together.",2011
5320,Mistérios de Lisboa,Raoul Ruiz,"Adriano Luz, Maria João Bastos, Ricardo Pereira, Clotilde Hesme, Afonso Pimentel, João Arrais, Albano Jerónimo, João Baptista, Martin Loizillon, Julien Alluguette, Rui Morisson, Joana de Verona, Carloto Cotta, Maria João Pinho, José Manuel Mendes","Drama, Mystery, Romance","Follows a jealous countess, a wealthy businessman, and a young orphaned boy across Portugal, France, Italy and Brazil where they connect with a variety of mysterious individuals.",2010
5321,Five Minutes of Heaven,Oliver Hirschbiegel,"Mark Ryder, Diarmuid Noyes, Niamh Cusack, Mathew McElhinney, Conor MacNeill, Paul Garrett, Kevin O'Neill, Gerard Jordan, Paula McFetridge, Gerry Doherty, Luke O'Reilly, Luke McEvoy, Aoibheann Biddle, Ruth Matthewson, Carol Moore","Drama, Thriller","The story of former UVF member Alistair Little. Twenty-five years after Little killed Joe Griffen's brother, the media arrange an auspicious meeting between the two.",2009
5322,Stilyagi,Valeriy Todorovskiy,"Anton Shagin, Oksana Akinshina, Evgenia Brik, Maksim Matveev, Igor Voynarovskiy, Ekaterina Vilkova, Konstantin Balakirev, Aleksandr Stefantsov, Georgiy Sivokhin, Olga Filimonova, Yanina Melekhova, Irina Rozanova, Sergey Garmash, Oleg Yankovskiy, Aleksey Gorbunov","Drama, Musical, Romance",Young people struggle to do things their way in the 1950s.,2008
5323,Celda 211,Daniel Monzón,"Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón, Carlos Bardem, Marta Etura, Luis Zahera, Fernando Soto, Vicente Romero, Manolo Solo, Patxi Bisquert, Josean Bengoetxea, Anartz Zuazua, Miguel Martín, Félix Cubero","Action, Crime, Drama","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",2009
5324,I Spit on Your Grave,Steven R. Monroe,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese, Rodney Eastman, Chad Lindberg, Tracey Walter, Mollie Milligan, Saxon Sharbino, Amber Dawn Landrum","Horror, Thriller","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",2010
5325,We Need to Talk About Kevin,Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell, Rock Duer, Ashley Gerasimovich, Siobhan Fallon Hogan, Alex Manette, Kenneth Franklin, Leslie Lyles, Paul Diomede, Michael Campbell, J. Mallory McCree, Mark Elliot Wilson, James Chen","Drama, Mystery, Thriller","Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",2011
5326,Looking for Eric,Ken Loach,"Steve Evets, Eric Cantona, Stephanie Bishop, Gerard Kearns, Stefan Gumbs, Lucy-Jo Hudson, Cole Williams, Dylan Williams, Matthew McNulty, Laura Ainsworth, Max Beesley Snr, Kelly Bowland, Julie Brown, John Henshaw, Justin Moorhouse","Comedy, Drama, Fantasy","Eric, a football fanatic postman whose life is descending into crisis, receives some life coaching from the famously philosophical Eric Cantona.",2009
5327,Bellflower,Evan Glodell,"Evan Glodell, Jessie Wiseman, Tyler Dawson, Rebekah Brandes, Vincent Grashaw, Zack Kraus, Keghan Hurst, Alexandra Boylan, Bradshaw Pruitt, Brian Thomas Evans, Britta Jacobellis, Ceaser Flores, Chris Snyder, Dan Dulle, Jon Huck","Action, Drama, Romance","Two friends spend all their free time building flame-throwers and weapons of mass destruction in hopes that a global apocalypse will occur and clear the runway for their imaginary gang ""Mother Medusa"".",2011
5328,The Tourist,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Christian De Sica, Alessio Boni, Daniele Pecci, Giovanni Guidelli, Raoul Bova, Bruno Wolkowitch, Marc Ruchmann, Julien Baumgartner, François Vincentelli","Action, Adventure, Crime","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.",2010
5329,Extraordinary Measures,Tom Vaughan,"Brendan Fraser, Harrison Ford, Keri Russell, Meredith Droeger, Diego Velazquez, Sam M. Hall, Jared Harris, Patrick Bauchau, Alan Ruck, David Clennon, Dee Wallace, Courtney B. Vance, Ayanna Berkshire, P.J. Byrne, Andrea White",Drama,A drama centered on the efforts of John and Aileen Crowley to find a researcher who might have a cure for their two children's rare genetic disorder.,2010
5330,Soul Kitchen,Fatih Akin,"Adam Bousdoukos, Moritz Bleibtreu, Pheline Roggan, Anna Bederke, Birol Ünel, Dorka Gryllus, Wotan Wilke Möhring, Lucas Gregorowicz, Demir Gökgöl, Cem Akin, Marc Hosemann, Catrin Striebeck, Ugur Yücel, Udo Kier, Monica Bleibtreu","Comedy, Drama","In Hamburg, German-Greek chef Zinos unknowingly disturbs the peace in his locals-only restaurant by hiring a more talented chef.",2009
5331,Conviction,Tony Goldwyn,"Hilary Swank, Sam Rockwell, Thomas D. Mahard, Owen Campbell, Conor Donovan, Laurie Brown, John Pyper-Ferguson, Minnie Driver, Ele Bardha, Melissa Leo, Rusty Mewha, Marc Macaulay, Bailee Madison, Tobias Campbell, Frank Zieger","Biography, Crime, Drama","A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders.",2010
5332,[Rec]²,"Jaume Balagueró, Paco Plaza","Jonathan D. Mellor, Óscar Zafra, Ariel Casas, Alejandro Casaseca, Pablo Rosso, Rafa Parra, Pep Molina, Andrea Ros, Àlex Batllori, Pau Poch, Juli Fàbregas, Ferran Terraza, Claudia Silva, Martha Carbonell, Jorge-Yamam Serrano","Adventure, Horror, Mystery","In order to ascertain the current situation inside, a supposed medical officer and a GEO team step into the quarantined and ill-fated apartment building.",2009
5333,This Is the End,"Evan Goldberg, Seth Rogen","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson, Mindy Kaling, David Krumholtz, Christopher Mintz-Plasse, Rihanna, Martin Starr, Paul Rudd, Channing Tatum",Comedy,"6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only have to face the apocalypse, but themselves.",2013
5334,RED,Robert Schwentke,"Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest","Action, Comedy, Crime","When his peaceful life is threatened by a high-tech assassin, former black-ops Agent Frank Moses (Bruce Willis) reassembles his old team in a last ditch effort to survive and uncover his assailants.",2010
5335,Banlieue 13: Ultimatum,Patrick Alessandrin,"Cyril Raffaelli, David Belle, Philippe Torreton, Daniel Duval, Elodie Yung, MC Jean Gab'1, James Deano, Laouni Mouhid, Fabrice Feltzinger, Pierre-Marie Mosconi, Johnny Amaro, Pascal D'Amato, Guy Amram, Pascal Aubert, Jean-Gilles Barbier","Action, Crime, Thriller","Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses, before the city's secret services take drastic measures to solve the problem.",2009
5336,Shrink,Jonas Pate,"Kevin Spacey, Joe Nunez, Mark Webber, Keke Palmer, Sierra Aylina McClain, Ada Luz Pla, Saffron Burrows, Jack Huston, Pell James, Mei Melançon, Dallas Roberts, Andrew Sibner, Troy Metcalf, Kendall Clement, Jesse Plemons","Comedy, Drama","Unable to cope with a recent personal tragedy, LA's top celebrity shrink turns into a pothead with no concern for his appearance and a creeping sense of his inability to help his patients.",2009
5337,Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss, Lyndsy Fonseca, Sophie Wu, Elizabeth McGovern, Christopher Mintz-Plasse, Stu 'Large' Riley, Johnny Hopkins, Ohene Cornelius, Mark Strong, Michael Rispoli, Corey Johnson, Kenneth Simmons","Action, Adventure, Comedy","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",2010
5338,Middle Men,George Gallo,"Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan, Jacinda Barrett, Kevin Pollak, Laura Ramsey, Rade Serbedzija, Terry Crews, Kelsey Grammer, Graham McTavish, Robert Forster, John Ashton, Jason Antoon, Martin Kove","Comedy, Crime, Drama","Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals, and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.",2009
5339,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Darshan Jariwala, Smita Jaykar, Zakir Hussain, Upen Patel, Rana Jung Bahadur, Abhay Bhargav, Dolly Bindra, Vishwanath Chatterjee, Mithilesh Chaturvedi, Jayant Gadekar, Dhananjay Galani, Ameya Hunaswadkar, Jagdeep","Action, Comedy, Romance","The wacky adventures of a young man who is willing to sacrifice his own love to insure the happiness of others, and get the girl-of-his-dreams married to the boy-of-her-dreams.",2009
5340,300: Rise of an Empire,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref",Action,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",2014
5341,Immortals,Tarsem Singh,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto, Luke Evans, John Hurt, Joseph Morgan, Anne Day-Jones, Greg Bryk, Alan Van Sprang, Peter Stebbings, Daniel Sharman, Isabel Lucas, Kellan Lutz, Steve Byers","Action, Drama, Fantasy","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",2011
5342,Incendies,Denis Villeneuve,"Mustafa Kamel, Hussein Sami, Rémy Girard, Mélissa Désormeaux-Poulin, Maxim Gaudette, Dominique Briand, Lubna Azabal, Frédéric Paquet, Hamed Najem, Ahmad Massad, Bader Alami, Majida Hussein, Asriah Nijres, John Dunn-Hill, Nadia Essadiqi","Drama, Mystery, War",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2010
5343,L'armée du crime,Robert Guédiguian,"Simon Abkarian, Virginie Ledoyen, Robinson Stévenin, Lola Naymark, Grégoire Leprince-Ringuet, Adrien Jolivet, Olga Legrand, Alexandru Potocean, Jean-Pierre Darroussin, Yann Trégouët, Pascal Cervo, Paula Klein, Boris Bergman, Léopold Szabatura, Ariane Ascaride","Drama, History, War",The poet Missak Manouchian leads a mixed bag of youngsters and immigrants in a clandestine battle against the Nazi occupation. Twenty-two men and one woman fighting for an ideal and for ...,2009
5344,Exam,Stuart Hazeldine,"Adar Beck, Gemma Chan, Nathalie Cox, John Lloyd Fillingham, Chukwudi Iwuji, Pollyanna McIntosh, Luke Mably, Jimi Mistry, Colin Salmon, Chris Carey","Mystery, Thriller","Eight candidates for a highly desirable corporate job are locked together in an exam room and given a final test with just one seemingly simple question. However, it doesn't take long for confusion to ensue and tensions to unravel.",2009
5345,L'instinct de mort,Jean-François Richet,"Vincent Cassel, Cécile de France, Gérard Depardieu, Gilles Lellouche, Roy Dupuis, Elena Anaya, Florence Thomassin, Michel Duchaussoy, Myriam Boyer, Abdelhafid Metalsi, Gilbert Sicotte, Deano Clavet, Ludivine Sagnier, Mustapha Abourachid, Sofiane Benrazzak","Action, Biography, Crime","The story of french gangster Jacques Mesrine, before he was called Public Enemy N°1.",2008
5346,The Cabin in the Woods,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Maya Massar",Horror,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2011
5347,Den of Thieves,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman, Dawn Olivieri, Eric Braeden, Jordan Bridges, Lewis Tan, Cooper Andrews","Action, Crime, Drama",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,2018
5348,Kôkaku kidôtai 2.0,Mamoru Oshii,"Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera, Tesshô Genda, Masato Yamanouchi, Shinji Ogawa, Yoshiko Sakakibara, Kazuhiro Yamaji, Shigeru Chiba, Maaya Sakamoto, Steve Bulen, Gina Connell, Stephen Davis, Dorothy Elias-Fahn, Richard Epcar","Animation, Action, Crime",A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of,2008
5349,Gulaal,Anurag Kashyap,"Kay Kay Menon, Raj Singh Chaudhary, Jesse Randhawa, Deepak Dobriyal, Ayesha Mohan, Mahie Gill, Piyush Mishra, Abhimanyu Singh, Aditya Srivastava, Mukesh Bhatt, Pankaj Jha, Savi Sidhu, Vasan Bala, Jyoti Dogra, Chittaranjan Giri","Crime, Drama, Thriller","A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.",2009
5350,Scream 4,Wes Craven,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell, Anna Paquin, Kristen Bell, Aimee Teegarden, Britt Robertson, Neve Campbell, Alison Brie, David Arquette, Courteney Cox, Hayden Panettiere, Emma Roberts, Marielle Jaffe","Horror, Mystery","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",2011
5351,World's Greatest Dad,Bobcat Goldthwait,"Robin Williams, Daryl Sabara, Morgan Murphy, Naomi Glick, Dan Spencer, Geoff Pierson, Henry Simmons, Zach Sanchez-Vitale, Alexie Gilmore, Evan Martin, Ellyn Jameson, Michael Thomas Moore, Ray Buckley, Jermaine Williams, Lorraine Nicholson","Comedy, Drama","When his son's body is found in a humiliating accident, a lonely high school teacher inadvertently attracts an overwhelming amount of community and media attention after covering up the truth with a phony suicide note.",2009
5352,Crazy Heart,Scott Cooper,"Jeff Bridges, James Keane, Anna Felix, Paul Herman, Tom Bower, Ryan Bingham, Beth Grant, Rick Dial, Maggie Gyllenhaal, Debrianna Mansini, Jerry Handy, Jack Nation, Ryil Adamson, J. Michael Oliva, David Manzanares","Drama, Music, Romance",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,2009
5353,Habitación en Roma,Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles, Laura Meizoso","Drama, Romance",A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical adventure that touches their very souls.,2010
5354,Le petit Nicolas,Laurent Tirard,"Maxime Godart, Vincent Claude, Charles Vaillant, Victor Carles, Benjamin Averty, Germain Petit Damico, Damien Ferdel, Virgile Tirard, Elisa Heusch, Valérie Lemercier, Kad Merad, Sandrine Kiberlain, François-Xavier Demaison, Michel Duchaussoy, Daniel Prévost","Comedy, Family","Nicholas has every reason to keep things in life unchanged; however, when he accidentally overhears mum and dad talking about a new baby brother, his world will turn upside down. Will they abandon him to make room for the little stranger?",2009
